FLAG	KEY	EN	FR	ES	IND	KM	AR	TR	ET	RU	GE	HU	IT	SR	ZH	DE
PHP	USERNAME_CANNOT_BE_EMPTY	Username cannot be empty	Nom d'utilisateur ne peut pas être vide	El nombre de usuario(a) no puede quedar vacío	Nama pengguna harus diisi	ឈ្មោះ​អ្នក​ប្រើប្រាស់មិន​អាច​ទទេ​បាន​ទេ	لا يجوز ترك اسم المستخدم خاليا	Kullanıcı adı boş bırakılamaz	Kasutajanimi ei saa olla tühi	Имя пользователя не может быть пустым	მომხმარებლის სახელი არ შეიძლება იყოს ცარიელი	A felhasználónév nem lehet üres	Il Nome Utente non può restare vuoto	Korisničko ime ne može biti prazno	用户名不能空白	Benutzer_innenname kann nicht leer sein
PHP	USERS	Users	Utilisateurs	Usuario(a)s	Pengguna	អ្នក​ប្រើ​ប្រាស់	المستخدمون	Kullanıcılar	Kasutajad	Пользователи	მომხმარებლები	Felhasználók	Utenti	Korisnici	用户（多名）	Benutzer_innen
PHP	USERS_WITH_PERMISSION_TO_ACCESS_THIS_EVENT	Users with permission to access this Event	Utilisateurs qui ont la permission d'accéder à ce Evénement	Usuario(a)s con permiso para ingresar a este Evento	Pengguna dengan wewenang untuk mengakses peristiwa ini	អ្នក​ប្រើ​ប្រាស់​ដែល​មាន​កា​រអនុញ្ញាត​អោយ​ប្រើ​ប្រាស់​ព្រឹត្តិការណ៍​នេះ	المستخدمون الذين يملكون التصريح للوصول إلى هذا الحدث	Bu Olaya erişim izni olan kullanıcılar	Kasutajad ligipääsuga sellele Sündmusele	Пользователи с правом доступа к этому событию	მომხმარებლები მოცემულ შემთხვევაზე წვდომის ნებართვით	Felhasználók akiknek engedélyezett a hozzáférés ehhez az eseményhez	Utenti con permesso di accesso a questo Evento	Korisnici s dozvolom da pristupe ovom događaju.	允许存取此事件的用户	Benutzer_innen mit Erlaubnis auf das Ereignis zuzugreifen
PHP	USERS_WITH_PERMISSION_TO_ACCESS_THIS_PERSON	Users with permission to access this Person	Utilisateurs qui ont la permission d'accéder à cette Personne	Usuario(a)s con permiso para ingresar a esta Persona	Pengguna dengan wewenang untuk mengakses peristiwa ini	អ្នក​ប្រើ​ប្រាស់​ដែល​មាន​ការ​អុញ្ញាតិ​ឲ្យ​ប្រើ​ប្រាស់​​បុគ្គល​នេះ	المستخدمون الذين يملكون التصريح للوصول إلى هذا الشخص	Bu Kişiye erişim izni olan kullanıcılar	Kasutajad ligipääsuga sellele Isikule	Пользователи с правом доступа к этому человеку	მომხმარებლები მოცემულ პირზე წვდომის ნებართვით	Felhasználók akiknek engedélyezett a hozzáférés ehhez a személyhez	Utenti con permesso di accesso a questa Persona	Korisnici s dozvolom da pristupe ovoj osobi	允许存取此人士的用户	Benutzer_innen mit Erlaubnis auf diese Person zuzugreifen
PHP	USERS_WITH_PERMISSIONS	Users with permissions	Utilisateurs avec permissions	Usuario(a)s con permisos	Pengguna dengan wewenang	អ្នក​ប្រើ​ប្រាស់​ដែល​​មាន​ការ​អនុញ្ញាត	المستخدمون الذين يملكون التصريح	İzni olan kullanıcılar	Kasutajad ligipääsudega	Пользователи с правами	მომხმარებლები ნებართვებით	Engedéllyel rendelkező felhasználók	Utenti con permesso	Korisnici s dozvolom	有许可的用户	Benutzer_innen mit Erlaubnissen
PHP	VALIDATION	Validation	Validation	Validación	Validasi	ការ​បញ្ជាក់​ឲ្យ​មាន​សុពល​ភាព	المصادقة	Doğrulama	Kinnitus	Подтверждение	ვალიდაცია	Érvényesítés	Convalida	Validacija	验证	Überprüfung
PHP	VALIDATION_TYPE	Validation type	Type de validation	Tipo de validación	Jenis Validasi	ប្រភេទ​នៃ​ការ​បញ្ជាក់​ថា​មាន​សុភព​ភាព	نوع المصادقة	Doğrulama türü	Kinnituse tüüp	Тип подтверждения	ვალიდაციის ტიპი	Érvényesítés típusa	Tipo di convalida	Vrsta validacije	验证类型	Art der Überprüfung
PHP	VERSION	Version	Version	Versión	Versi	លំដាប់​សំណេរ	الإصدار	Versiyon	Versioon	Версия	ვერსია	Verzió	Versione	Verzija	版本	Version
PHP	VICTIM	Victim	Victime	Víctima	Korban	ជន​រង​គ្រោះ	الضحية	Mağdur	Ohver	Жертва	მსხვერპლი	Áldozat	Vittima	Žrtva	受害者	Opfer
PHP	VICTIM_NAME	Victim name	Nom de la victime	Nombre de la víctima	Nama Korban	ឈ្មោះ​ជន​រង​គ្រោះ	اسم الضحية	Mağdur adı	Ohvri nimi	Имя жертвы	მსხვერპლის სახელი	Áldozat neve	Nome della Vittima	Ime žrtve	受害者名字	Name Opfer
PHP	VICTIM_SEARCH_FORM	Victim Search Form	Formulaire de recherche de victimes	Formulario para búsqueda de víctimas	Form Pencarian Korban	ទំរង់​ស្វែង​រក​ជន​រង​គ្រោះ	نموذج البحث في الضحايا	Mağdur Arama Formu	Ohvri Otsingu vorm	Форма поиска жертвы	მსხვერპლის ძიების ფორმა	Áldozat keresési űrlap	Modulo di Ricerca Vittima	Obrazac za pretragu žrtve	受害者搜索表	Suchformular Opfer
PHP	VICTIMS	Victims	Victimes	Víctimas	Korban	ជន​រង​គ្រោះ	الضحايا	Mağdurlar	Ohvrid	Жертвы	მსხვერპლები	Áldozatok	Vittime	Žrtva	受害者（多名）	Opfer
PHP	VICTIMS_AND_PERPETRATORS	Victims and Perpetrators	Victimes et Auteurs	Víctimas y perpetradores	Korban dan Pelaku	ជន​រង​គ្រោះ​និង​ជន​ប្រព្រឹត្តិ	الضحايا والجناة	Mağdurlar ve Failler	Ohvrid ja Toimepanijad	Жертвы и правонарушители	მსხვერპლები და სამართალდამრღვევი მხარეები	Áldozatok és elkövetők	Vittime e Autori	Žrtve i počinioci	受害者跟侵权者（多名）	Opfer und Täter_innen
PHP	VIEW_ACT_RECORD	View Act record	Afficher l'enregistrement Acte	Ver el registro del acto	Tampilkan catatan Tindakan	បើកមើល​កំណត់​ត្រា​បទ​រំលោភ	عرض سجل الأفعال	Fiil Kaydını Görüntüle	Vaata Toimingu kirjet	Просмотреть запись об акте	იხილეთ აქტის შესახებ ჩანაწერი	Cselekmény bejegyzések megtekintése	Visualizzare registrazione Atto	Vidi belešku o radnji	查看案件纪录	siehe Tateintrag
PHP	VIEW_ADDRESS	View Address	Afficher l'Adresse	Ver la Dirección	Tampilkan Alamat	បើក​មើល​អាសយដ្ឋាន	عرض العنوان	Adresi Görüntüle	Vaata Aadressi	Просмотреть адрес	იხილეთ მისამართი	Cím megtekintése	Visualizzare Indirizzo	Vidi adresu	查看地址	siehe Adresse
PHP	VIEW_BIOGRAPHIC_DETAILS	View Biographic Details	Afficher les Détails biographiques	Ver los detalles biográficos	Tampilkan Riwayat Hidup	បើក​មើលជីវប្រវត្តិ​លំអិត	عرض التفاصيل الذاتية	Biyografik Detayları Görüntüle	Vaata Eluloolisi üksikasju	Просмотреть биографические данные	იხილეთ ბიოგრაფიული დეტალები	Életrajzi adatok megtekintése	Visualizzare i Dettagli Biografici	Vidi biografske detalje	查看出生背景信息	siehe biographische Details
PHP	VIEW_CHAIN_OF_EVENTS_RECORD	View Chain of Events record	Afficher cette Chaîne d'événements	Ver el registro de la cadena de eventos	Tampilkan catatan Rangkaian Peristiwa	បើក​មើលកំណត់​ត្រា​ចង្វាក់​ព្រឹត្តិការណ៍	عرض سجل سلسلة الأحداث	Olaylar Zinciri Kaydını Görüntüle	Vaata Sündmusteahela kirjet	Просмотреть запись о цепочке событий	იხილეთ შემთხვევათა თანამიმდევრობის შესახებ ჩანაწერი	Eseménysorozat megtekintése	Visualizzare registrazione della Serie degli Eventi	Vidi belešku o lancu događaja	查看事件链纪录	siehe Ereignisketteneintrag
PHP	VIEW_DOCUMENT	View Document	Afficher le Document	Ver el documento	Tampilkan Dokumen	បើក​មើល​ឯកសារ	عرض الوثيقة	Belgeyi Görüntüle	Vaata Dokumenti	Просмотреть документ	იხილეთ დოკუმენტი	Dokumentum megtekintése	Visualizzare Documento	Vidi dokument	查看文件	siehe Dokument
PHP	VIEW_EVENT	View Event	Afficher l'Evénement	Ver el evento	Tampilkan Peristiwa	បើក​មើល​ព្រឹត្តិការណ៍	عرض الحدث	Olayı Görüntüle	Vaata Sündmust	Просмотреть событие	იხილეთ შემთხვევა	Esemény megtekintése	Visualizzare Evento	Vidi događaj	查看事件	siehe Ereignis
PHP	VIEW_EVENT_RECORD	View Event record	Afficher l'enregistrement Evénement	Ver el registro del evento	Tampilkan catatan Peristiwa	បើក​មើលកំណត់​ត្រាព្រឹត្តិការណ៍	عرض سجل الحدث	Olay Kaydını Görüntüle	Vaata Sündmuse kirjet	Просмотреть запись о событии	იხილეთ შემთხვევის შესახებ ჩანაწერი	Esemény bejegyzések megtekintése	Visualizzare registrazione Evento	Vidi belešku o događaju	查看事件纪录	siehe Ereigniseintrag
PHP	VIEW_INFORMATION_RECORD	View Information record	Afficher l'enregistrement  Information	Ver el registro de la información	Tampilkan catatan Informasi	បើក​មើល​កំណត់​ត្រា​ពត៌មាន	عرض سجل المعلومات	Bilgi Kaydını Görüntüle	Vaata Informatsiooni kirjet	Просмотреть запись об информации	იხილეთ ინფორმაციის ჩანაწერი	Információ bejegyzések megtekintése	Visualizzare registrazione Informazione	Vidi belešku o informaciji	查看信息纪录	siehe Informationseintrag
PHP	VIEW_INTERVENTION_PARTY_RECORD	View Intervention Party record	Afficher l'enregistrement Partie Intervenante	Ver el registro de la parte interviniente	Tampilkan Catatan Pihak yang Mengintervensi	បើក​មើល​កំណត់​ត្រា​អំពី​ភាគី​អន្តរាគមន៍	عرض سجل طرف التدخل	Müdahil Taraf Kaydını Görüntüle	Vaata Sekkuja kirjet	Просмотреть запись о вмешивающейся стороне	იხილეთ ჩართული მხარის შესახებ ჩანაწერი	Beavatkozó felek bejegyzések megtekintése	Visualizzare registrazione Parti Intervenute	Vidi belešku o uključenim stranama	查看第三方介入纪录	siehe Eintrag Interventionspartei
PHP	VIEW_INTERVENTION_RECORD	View Intervention record	Afficher l'enregistrement Intervention	Ver el registro de intervención	Tampilkan catatan Intervensi	បើក​មើល​កំណត់​ត្រា​អំពី​បទ​អន្តរាគមន៍	عرض سجل التدخل	Müdahale Kaydını Görüntüle	Vaata Sekkumise kirjet	Просмотреть запись о вмешательстве	იხილეთ ინტერვენციის შესახებ ჩანაწერი	Beavatkozás bejegyzések megtekintése	Visualizzare registrazione Intervento	Vidi belešku o intervencijama	查看案件介入纪录	siehe Interventionseintrag
PHP	VIEW_INVOLVEMENT_RECORD	View Involvement record	Afficher l'enregistrement Implication	Ver el registro del involucramiento	Tampilkan catatan Keterlibatan	បើកមើល​កំណត់​ត្រា​ការ​ពាក់​ព័ន្ធ	عرض سجل التورط	Karışma Kaydını Görüntüle	Vaata Seotuse kirjet	Просмотреть запись о вмешательстве	იხილეთ ჩართულობის შესახებ ჩანაწერი	Bevonás bejegyzések megtekintése	Visualizzare registrazione Coinvolgimento	Vidi belešku o učešću	查看案件参与纪录	siehe Beteiligungseintrag
PHP	VIEW_PERPETRATOR_RECORD	View Perpetrator record	Afficher l'enregistrement Auteur	Ver el registro del perpetrador	Tampilkan catatan Pelaku	បើកមើល​កំណត់​ត្រា​ជន​ប្រព្រឹត្តិ	عرض سجل الجناة	Fail Kaydını Görüntüle	Vaata Toimepanija kirjet	Просмотреть запись о правонарушителе	იხილეთ სამართალდამრღვევი მხარის შესახებ ჩანაწერი	Elkövető bejegyzések megtekintése	Visualizzare registrazione Autore	Vidi belešku o počiniocu	查看侵权者纪录	siehe Täter_inneneintrag
PHP	VIEW_PERSON	View Person	Afficher la Personne	Ver la persona	Tampilkan Orang	បើកមើល​បុគ្គល	عرض الشخص	Kişiyi Görüntüle	Vaata Isikut	Просмотреть человека	იხილეთ პირი	Személy megtekintése	Visualizzare Persona	Vidi osobu	查看人士	siehe Person
PHP	VIEW_RELATED_PERSON	View Related Person	Afficher la Personne connexe	Ver a la persona relacionada	Tampilkan Orang yang terhubung	បុគ្ឡល​ពាក់​ព័ន្ធ	عرض الشخص ذات الصلة	İlişkili Kişiyi Görüntüle	Vaata Seotud isikut	Просмотреть контактное лицо	იხილეთ დაკავშირებული პირი	Kapcsolódó személyek megtekintése	Visualizzare Persona Collegata	Vidi sa njom povezanu osobu	查看相关人士	siehe verbundene Person
PHP	VIEW_SOURCE_RECORD	View Source record	Afficher l'enregistrement Source	Ver el registro de la fuente	Tampilkan catatan Sumber	បើក​មើល​កំណត់​ត្រា​ប្រភព	عرض سجل المصدر	Kaynak Kaydını Görüntüle	Vaata Allika kirjet	Просмотреть запись об источнике	იხილეთ წყაროს შესახებ ჩანაწერი	Forrás bejegyzések megtekintése	Visualizzare registrazione Fonte	Vidi belešku o izvoru	查看来源纪录	siehe Quelleneintrag
PHP	VIEW_VICTIM_RECORD	View Victim record	Afficher l'enregistrement Victime	Ver el registro de la víctima	Tampilkan catatan Korban	បើក​មើល​កំណត់​ត្រា​ជន​រង​គ្រោះ	عرض سجل الضحايا	Mağdur Kaydını Görüntüle	Vaata Ohvri kirjet	Просмотреть запись о жертве	იხილეთ მსხვერპლის შესახებ ჩანაწერი	Áldozat bejegyzések megtekintése	Visualizzare registrazione Vittima	Vidi belešku o žrtvi	查看受害者纪录	siehe Opfereintrag
PHP	VISIBILITY	Visibility	Visibilité	Visibilidad	Visibilitas	ការ​បង្ហាញ​ឲ្យ​ឃើញ	إمكانيّةُ الرّؤية	Görünürlük	Nähtavus	Видимость	დათვალიერება	Láthatóság	Visibilità	Vidljivost	能见度	Sichtbarkeit
PHP	VISIBLE	Visible	Visible	Visible	Terlihat	ការ​បង្ហាញ​ឲ្យ​ឃើញ	مرئي	Görünür	Nähtav	Видимый	ექვემდებარება დათვალიერებას	Látható 	Visibile	Vidljiv 	显示	Sichtbar
PHP	VISIBLE_IN_BROWSE	Visible in browse	Visible dans la vue Parcourir	Visible para revisión	Terlihat di penelusuran	អាច​មើល​ឃើញ​នៅ​ក្នុងបញ្ជី​បើកមើល (​Browse)	مرئي في الاستعراض	Taramada görünür	Nähtav sirvides	Видимый при выборе	ექვემდებარება დათვალიერებას არჩევისას	Látható a böngészés során	Visibile in sfoglia	Vidljivo u pretrazi	游览里显示	sichtbar in Suche
PHP	VISIBLE_IN_FORM	Visible in form	Visible dans le formulaire	Visible en el formulario	Terlihat di formulir	អាច​មើល​ឃើញ​នៅ​ក្នុង​ទំរង់	مرئي في الشكل	Formda görünür	Nähtav vormis	Видимый в форме	ექვემდებარება დათვალიერებას ფორმით	Látható az űrlapon	Visibile in modulo	Vidljivo u obrascu	表格中显示	Sichtbar in Formular
PHP	VISIBLE_IN_VIEW	Visible in view	Visible dans la vue Afficher	Visible en la vista preliminar	Telihat di Tampilan	អាច​មើល​ឃើញ​នៅ​ក្នុង​ការ​មើល(View)	مرئي في العرض	Görüntüde görünür	Nähtav vaates	Видимый в виде	ექვემდებარება დათვალიერებას რაკურსში	Látható a nézetben	Visibile in visualizza	Vidljivo u pregledu	视图里显示	Sichtbar in Ansicht
JS	WEB	Web	web	Sitio de Internet	Situs	គេហរ​ទំព័រ	الشبكة الإلكترونية	Web	Veeb	Интернет	ვებ-გვერდი	Web	Web	Veb	网	Web
PHP	WEBSITE	Website	Site web	Sitio de Internet	Website	គេ​ហទំព័រ	الموقع الإلكتروني	Web sitesi	Veebileht	Сайт	ვებსაიტი	Weboldal	Sito Web	Vebsajt	网站	Webseite
PHP	WHAT_HAPPENED_TO	What happened to	Qu'est-il arrivé à ?	¿Qué le sucedió a?	Apa yang terjadi pada	តើ​អ្វី​កើត​ឡើង​ចំពោះ	ماذا حدث لـ؟	Ne oldu?	Mis juhtus ...	Что произошло с	რა მოხდა	Mi történt vele	Cos'è accaduto a	Šta se desilo...	发生什么	Was ist passiert?
PHP	WHAT_IS_THE_INTERVENTION_	What is the intervention?	Quelle est l'intervention ?	¿Qué intervención se hizo?	Apa intervensinya?	តើ​បទ​អន្តរាគមន៍​ជា​អ្វី?	ما هو التدخل؟	Müdahale nedir?	Mis on sekkumine?	В чем заключается вмешательство?	რა არის ინტერვენცია?	Mi a bevatkozás?	Qual è l'intervento?	Koja intervencija je u pitanju?	什么样的案件介入？	Was war die Intervention?
PHP	WHO_IS_RESPONSIBLE_FOR_THE	Who is responsible for the	Qui est responsable de ?	¿Quién es el responsable de	Siapa yang bertanggung jawab atas	តើ​អ្នក​ណា​ទទួល​ខុស​ត្រូវ​ចំពោះ	من هو المسؤول عن	Kim sorumlu?	Kes vastutab ...	Кто несет ответственность за	ვინ არის პასუხისმგებელი რაღაცისთვის	Ki felelős ezért:	Chi è responsabile de l'	Ko je odgovoran za...	谁负责	Wer ist verantwortlich für die
PHP	WHO_IS_THE_INTERVENING_PARTY_	Who is the intervening party?	Qui est la partie intervenante ?	¿Quién es la parte interviniente?	Siapa pihak yang mengintervensi?	តើ​អ្នក​ណា​ជា​​ភាគី​អន្តរាគមន៍?	من هو الطرف المتدخل؟	Müdahil taraf kim?	Kes on sekkuja?	Кто является вмешивающейся стороной?	ვინ არის ჩართული მხარე?	Ki a beavatkozó fél?	Chi è la parte intervenuta?	Koj je intervenišuća strana?	谁是第三方介入？	Wer ist die intervenierende Partei?
PHP	WHO_IS_THE_SOURCE_	Who is the source?	Qui est la Source ?	¿Quién es la fuente?	Siapa sumbernya?	តើ​អ្នក​ណា​ជា​ប្រភព?	ما هو المصدر؟	Kaynak kim?	Kes on allikas?	Кто является источником?	ვინ არის წყარო?	Ki a forrás?	Quale è la fonte?	Ko je izvor?	谁是来源？	Wer ist die Quelle?
PHP	WHO_IS_THE_VICTIM__	Who is the victim ?	Qui est la Victime ?	¿Quién es la víctima?	Siapa korbannya?	តើ​អ្នក​ណា​ជា​ជន​រង​គ្រោះ?	من هو الضحية؟	Mağdur kim?	Kes on ohver?	Кто является жертвой?	ვინ არის მსხვერპლი?	Ki az áldozat?	Chi è la vittima?	Ko je žrtva?	谁是受害者？	Wer ist das Opfer?
JS	YEAR_S__	Year(s):	Année(s):	Año(s) :	Tahun:	ឆ្នាំ	سنة (سنوات):	Yaş:	Aasta(d):	Год(ы):	წელი (წლები):	Év(ek).	Anno/i:	Godina/e:	年	Jahr(e)
PHP	YES	Yes	Oui	Si	Ya	បាទ/ចាស	نعم	Evet	Jah	Да	დიახ	Igen	Sì	Da	是	Ja
PHP	YOU_ARE_ABOUT_TO_DELETE_AN_EVENT__THIS_MEANS_YOU_WILL_DELETE_THE_RECORDS_LISTED_BELOW__DO_YOU_WANT_TO_CONTINUE_	You are about to delete an Event. This means you will delete the records listed below. Do you want to continue?	Vous allez supprimer un Evénement. Ceci implique que vous supprimer les enregistrements ci-dessous. Est-ce que vous voulez continuer ?	Usted está a punto de eliminar un evento. Esto significa que se eliminarán los registros que figuran abajo. ¿Desea continuar?	Anda akan menhapus sebuah Peristiwa. Artinya anda akan menghapus catatan yang terdaftar di bawah ini. Anda akan melanjutkan?	អ្នក​ប្រុង​នឹង​លុប​ព្រឹត្តិការណ៍នេះ ។​នេះ​មានន័យ​ថា​អ្នក​នឹង​លុបកំណត់ត្រា​ក្នុង​បញ្ជី​ខាង​ក្រោម​។​ តើអ្នកចង់​​បន្តឬទេ?	أنت على وشك حذف حدث. هذا يعني أنك سوف تحذف السجلات المبينة أدناه. هل تود الاستمرار؟	Bir Olayı silmek üzeresiniz. Bu da aşağıdaki listede yer alan kayıtları sileceğiniz anlamına geliyor. Devam etmek istiyor musunuz?	Sa oled seda Sündmust kustutamas. See tähendab, et sa kustutad kõik all olevad kirjed. Soovid jätkata?	Вы собираетесь удалить событие. Это означает, что вы удалите перечисленные ниже записи. Хотите продолжить?	თქვენ აპირებთ შემთხვევის წაშლას. ეს ნიშნავს რომ თქვენ წაშლით ქვემოთ მოცემულ ჩანაწერებს. გსურთ გაგრძელება?	Esemény törlésére készülsz. Ez azt jelenti az alábbi bejegyzések is törlődnek. Folytatod?	Stai per eliminare un Evento. Questo significa che eliminerai le registrazioni elencate di seguito. Vuoi continuare?	Izabrali ste da želite da obrišete Događaj. To znači da ćete obrisati belešle koje se nalaze u nastavku. Da li želite da nastavite?	你将要删除此事件。这意味着你将删除以下列出的记录。你要继续吗？	Du bist dabei ein Ereignis zu löschen. Das bedeutet, dass du die unten aufgeführten Einträge löschst. Willst du fortfahren?
PHP	YOU_CANNOT_CHANGE_THE_ADMINISTRATOR_PERMISSIONS_	You cannot change the administrator permissions.	Vous ne pouvez pas changer les permissions de l'administrateur.	No puede modificar los permisos de administrador(a)	Anda tidak dapat mengubah wewenang admin	អ្នក​មិន​អាច​ដូរការ​អនុញ្ញាតិ​របស់​រដ្ឋ​បាល​បាន​ទេ	لا يمكنك تغيير تصريحات المسؤول.	Yönetici izinlerini değiştiremezsiniz.	Sa ei saa muuta administraatori õiguseid	Вы не можете изменить права администратора.	თქვენ ვერ შეძლებთ ადმინისტრატორის ნებართვების შეცვლას.	Nem változtathatod meg az adminisztrátor engedélyeit.	Non è possibile modificare le autorizzazioni dell'amministratore	Ne možete da promenite dozvolu administratora.	你不能改变管理员权限。	Du kannst nicht die Administrator_innenrechte ändern.
PHP	YOU_CANNOT_DELETE_OTHER_ADMIN_USERS_	You cannot delete other admin users.	Vous ne pouvez pas supprimer d'autres utilisateurs admin.	No puede borrar a otro(a)s usuario(a)s con estatus de administrador(a)	Anda tidak dapat menghapus pengguna admin lainnya	អ្នក​មិន​អាច​លុប​អ្នក​ប្រើ​ប្រាស់​ដែល​ជា​រដ្ឋ​បាល​ផ្សេង​ទៀត​បាន​ទេ។	لا يمكنك حذف المستخدمين المسؤولين الآخرين.	Diğer yönetici düzeyindeki kullanıcıları silemezsiniz.	Sa ei saa kustutada teisi administraatoreid.	Вы не можете удалять других пользователей с правами администратора.	თქვენ ვერ შეძლებთ სხვა მომხმარებელი- ადმინისტრატორის წაშლას.	Nem törölhetsz admin felhasználókat.	Non è possibile eliminare altri utenti admin.	Ne možete obrisati druge admin korisnike.	你不能删除其他管理员用户。	Du kannst nicht andere Admin Nutzer_innen löschen.
PHP	YOU_CANNOT_DELETE_THE_ADMINISTRATOR_ACCOUNT_	You cannot delete the administrator account.	Vous ne pouvez pas supprimer le compte de l'administrateur.	No puede borrar la cuenta de administrador(a)	Akun admin tidak dapat dihapus	មិន​អាច​លុបឈ្មោះ​របស់​រដ្ឋបាល​ចេញ​បាន​ទេ	لا يمكنك حذف حساب المسؤول.	Yönetici hesabını silemezsiniz.	Sa ei saa kustutada administraatori kontot.	Вы не можете удалить учетную запись администратора.	თქვენ ვერ შეძლებთ ადმინისტრატორის ანგარიშის წაშლას.	Nem törölhetsz adminisztrátori fókokat.	Non è possibile eliminare l'account dell'amministratore.	Ne možete obrisati nalog administratora.	你不能删除管理员帐户。	Du kannst nicht das Administrator_innenkonto löschen.
PHP	YOU_CANNOT_DELETE_THE_DEFAULT_LANGUAGE	You cannot delete the default language	Vous ne pouvez pas supprimer la langue par défaut	No puede borrar el idioma que está por omisión	Anda tidak dapat menghapus bahasa utama	អ្នក​មិន​អាច​លុប​ភាសា​ដែល​គេ​កំណត់​រួច​ហើយ​នេះ​បាន​ទេ	لا يمكنك حذف اللغة الافتراضية	Varsayılan (default) dili silemezsiniz.	Sa ei saa kustutada vaikimisikeelt.	Вы не можете удалить язык по умолчанию	თქვენ ვერ შეძლებთ დაფარული ენის წაშლას	Nem törölheted az alapértelmezett nyelvet.	È impossibile eliminare la lingua predefinita	Ne možete obrisati podrazumevani jezik.	你不能删除内定语言	Du kannst die voreingstellte Sprache nicht ändern
PHP	YOU_CANNOT_DELETE_YOURSELF_FROM_THE_LIST_OF_USERS_	You cannot delete yourself from the list of users.	Vous ne pouvez pas supprimer votre nom de la liste des utilisateurs.	Usted no puede borrarse de la lista de usuario(a)s	Tidak dapat menghapus diri sendiri dari daftar pengguna	មិនអាច​លុបខ្លួន​អ្នក​ចេញ​ពី​បញ្ជី​អ្នក​ប្រើប្រាស់​បាន​ទេ	لا يمكنك حذف نفسك من قائمة المستخدمين	Kendinizi kullanıcı listesinden silemezsiniz.	Sa ei saa kustutada end kasutajate nimekirjast.	Вы не можете удалить себя из списка пользователей.	თქვენ ვერ წაშლით თქვენს თავს მომხმარებელთა სიიდან.	Nem törölheted magad a felhasználók közül.	Non è possibile cancellarsi dalla lista degli utenti.	Ne možete izbrisati sebe iz liste korisnika.	你不能从用户列表中删除自己。	Du kannst dich nicht selber aus der User_innenliste löschen.
PHP	YOU_DO_NOT_HAVE_PERMISSION_TO_EDIT_OTHER_ADMIN_USERS_DETAILS_	You do not have permission to edit other admin users details.	Vous n'avez pas la permission d'éditer les détails d'autres utilisateurs admin.	Usted no tiene permitido modificar la información de otro(a)s administradores	Anda tidak memiliki wewenang untuk mengedit rincian admin lainnya	អ្នក​មិន​មាន​ការ​អនុញ្ញាតិ​ដើម្បីកែ​ប្រែ​ពត៌មាន​លំអិត​អ្នក​ប្រើ​ប្រាស់​ដែល​ជា​រដ្ឋ​បាល​ទេ។	لا يوجد لديك تصريح لتعديل تفاصيل المستخدمين المسؤولين	Diğer yönetici düzeyindeki kullanıcıların detaylarını düzenleme iznine sahip değilsiniz.	Sul puudub luba teiste administraatorite üksikasjade muutmiseks.	Вы не имеете прав для редактирования информации о других пользователях с правами администратора.	თქვენ არ გაქვთ სხვა  მომხმარებელი- ადმინისტრატორების დეტალების  რედაქტირების ნებართვა.	Nincs jogosultságod más admin felhasználó adatait szerkeszteni.	Non si dispone dell'autorizzazione per modificare altri dettagli degli utenti admin.	Nemate dozvolu da izmenite podatke o drugim admin korisnicima.	你没有编辑其他管理员用户的详细信息的许可。	Du hast nicht die Erlaubnis Details anderer admin User_innen zu bearbeiten.
PHP	YOU_HAVE_ALSO_SELECTED_SOME_PARENT_TERM_S___IF_YOU_PROCEED_THE_CHILDRENS_OF_THOSE_TERMS_WILL_ALSO_BE_DELETED_	You have also selected some parent term(s), if you proceed the children's of those terms will also be deleted.	Vous avez sélectionné quelques terme(s) parent, si vous procédez les enfants de ces termes seront aussi effacés.	Usted ha seleccionado también algún término(s) padre, si decides continuar los hijos de esos términos también se eliminarán.	Anda juga akan menghapus sejumlah induk istilah, jika dilanjutkan maka anak-anak dari istilah akan terhapus	បើអ្នកបានជ្រើសរើសពាក្យុកូន​ដែល​នឹង​ត្រូវ​លុប​ចោ អ្នក​ក៏​ត្រូវ​ជ្រើសរើសពាក្យឪពុកម្តាយ​ផង​ដែរ	لقد اخترت بعض المصطلحات الرئيسية، إذا واصَلَت فسوف يتم حذف فروع هذه المصطلحات أيضا.	Bazı üst kategori kavramlarını da seçtiniz, devam ederseniz bu üst kategori terimlerin altında yer alan terimleri de sileceksiniz.	Sa oled valinud ka mõne(d) ematermini(d). Kui sa jätkad, siis kustutatakse ka nende terminite tütarterminid.	Вы также выбрали некоторые термин(ы) верхнего уровня. Если Вы продолжите, зависимые от них термины также будут удалены.	თქვენ აგრეთვე შერჩეული გაქვთ რამდენიმე ძირითადი ტერმინი (ტერმინები), თუ თქვენ გააგრძელებთ, ამ ტერმინების შვილობილები აგრეთვე წაიშლება.	Néhány szülő kifejezést is kiválasztottál ha folytatod a gyermekeik is törlésre kerülnek.	Hai selezionato anche qualche termine /i di livello superiore, se si procede anche i livelli inferiori di quei termini verranno cancellati	Izabrali ste i neke nadređene pojmove; ukoliko nastavite, njima podređeni pojmovi će takođe biti obrisani.	你还选了一些父母级的词汇，如果继续，它们的子级词汇也将被删除。	Du hast auch einige übergeordnete Begriffe ausgewählt, wenn du fortfährst werden die untergeordneten Begriffe auch gelöscht.
